<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
13/05/18;000000;8474.3100000;8774.3200000;8345.0000000;8686.1000000;6276
14/05/18;000000;8686.1000000;8880.0100000;8289.7900000;8670.0000000;13090
15/05/18;000000;8670.0000000;8847.0000000;8420.4500000;8477.4600000;9653
16/05/18;000000;8477.4700000;8500.0000000;8103.3300000;8344.0000000;7414
17/05/18;000000;8344.0100000;8483.4800000;8001.0000000;8059.0000000;7369
18/05/18;000000;8059.0000000;8280.0000000;7927.2100000;8238.5100000;7842
19/05/18;000000;8238.5100000;8390.0000000;8152.5400000;8235.6000000;3011
20/05/18;000000;8235.6000000;8600.0000000;8172.0000000;8516.8600000;3470
21/05/18;000000;8516.8600000;8584.3900000;8309.2300000;8393.4400000;4949
22/05/18;000000;8393.4300000;8400.0000000;7950.0000000;7987.7000000;4937
23/05/18;000000;7987.7000000;8030.0600000;7433.1900000;7505.0000000;13316
24/05/18;000000;7505.0100000;7734.9900000;7269.0000000;7584.1500000;9808
25/05/18;000000;7584.1500000;7661.8500000;7326.9400000;7459.1100000;8290
26/05/18;000000;7459.1100000;7640.4600000;7287.2300000;7337.9500000;3940
27/05/18;000000;7337.9400000;7392.7000000;7229.0100000;7346.6400000;3835
28/05/18;000000;7346.6400000;7444.8000000;7087.0000000;7107.9400000;6346
29/05/18;000000;7107.9400000;7524.9900000;7058.0000000;7460.0000000;9937
30/05/18;000000;7460.0000000;7557.7800000;7272.7100000;7380.0100000;6016
31/05/18;000000;7380.0000000;7609.9900000;7340.0000000;7485.0000000;5500
01/06/18;000000;7485.0000000;7599.9900000;7351.0100000;7514.3200000;6444
02/06/18;000000;7514.3200000;7697.0900000;7440.0000000;7636.4200000;4824
03/06/18;000000;7636.4100000;7777.0000000;7583.2400000;7706.3700000;4595
04/06/18;000000;7706.3700000;7747.5700000;7447.6100000;7487.3700000;5701
05/06/18;000000;7487.3700000;7677.5000000;7355.0000000;7612.5100000;4809
06/06/18;000000;7612.5100000;7691.0000000;7484.0000000;7655.0000000;5421
07/06/18;000000;7655.0000000;7747.0000000;7635.0000000;7684.9300000;4738
08/06/18;000000;7684.9300000;7690.0000000;7536.5800000;7618.8000000;3701
09/06/18;000000;7616.0000000;7680.0000000;7468.0000000;7496.4000000;2159
10/06/18;000000;7496.4100000;7496.4100000;6652.0000000;6770.3100000;17539
11/06/18;000000;6770.3100000;6913.8200000;6666.6600000;6881.0000000;10777
12/06/18;000000;6881.0000000;6885.8400000;6450.0000000;6545.0000000;5292
13/06/18;000000;6549.4700000;6618.9500000;6135.0000000;6302.3100000;14680
14/06/18;000000;6302.3200000;6750.0000000;6269.0000000;6638.4900000;13875
15/06/18;000000;6638.4900000;6660.0000000;6370.0000000;6391.2200000;6443
16/06/18;000000;6391.2100000;6549.9900000;6330.0000000;6484.2900000;4270
17/06/18;000000;6484.3000000;6570.0100000;6428.1400000;6447.1600000;2925
18/06/18;000000;6447.1500000;6807.6400000;6385.0000000;6709.0200000;7701
19/06/18;000000;6709.1900000;6829.0600000;6670.0100000;6736.4100000;5890
20/06/18;000000;6736.4100000;6817.0000000;6557.6600000;6759.1800000;6024
21/06/18;000000;6759.5400000;6787.0000000;6682.3000000;6719.0100000;3947
22/06/18;000000;6719.0100000;6725.0000000;5921.2100000;6059.8200000;11803
23/06/18;000000;6059.8200000;6250.0000000;6040.0100000;6178.2900000;5717
24/06/18;000000;6178.2900000;6255.8000000;5777.0000000;6149.9900000;12650
25/06/18;000000;6150.0000000;6340.0100000;6070.1300000;6246.0100000;8873
26/06/18;000000;6246.0100000;6271.0000000;6044.9900000;6074.0000000;5026
27/06/18;000000;6074.0100000;6175.4300000;5983.5600000;6132.1700000;6471
28/06/18;000000;6132.1600000;6161.4700000;5816.6000000;5851.6600000;6214
29/06/18;000000;5850.2500000;6299.9900000;5790.0100000;6202.3600000;8356
30/06/18;000000;6202.3600000;6520.1500000;6185.0000000;6383.1900000;6477
01/07/18;000000;6383.1900000;6424.1400000;6256.7600000;6349.5000000;3761
02/07/18;000000;6349.5000000;6669.9900000;6270.0100000;6611.7900000;7850
03/07/18;000000;6611.7900000;6673.9900000;6465.0000000;6502.6200000;5593
04/07/18;000000;6502.6200000;6796.6200000;6411.5100000;6587.4700000;6054
05/07/18;000000;6587.4600000;6700.0000000;6449.5000000;6532.9500000;6684
06/07/18;000000;6532.9600000;6639.0000000;6452.2000000;6600.0000000;4962
07/07/18;000000;6599.9900000;6843.2600000;6512.0000000;6753.2800000;3037
08/07/18;000000;6753.2900000;6778.3100000;6671.0000000;6701.9700000;2895
09/07/18;000000;6701.9700000;6815.8200000;6625.0000000;6664.0100000;4297
10/07/18;000000;6664.0100000;6679.4700000;6279.0000000;6303.7000000;7471
11/07/18;000000;6303.6900000;6400.0000000;6281.0100000;6390.0400000;4591
12/07/18;000000;6390.0400000;6390.0400000;6075.1600000;6249.7500000;8022
13/07/18;000000;6246.6800000;6335.0900000;6121.5300000;6216.2900000;5703
14/07/18;000000;6216.2900000;6323.6800000;6187.0000000;6248.6500000;2856
15/07/18;000000;6248.6500000;6385.3500000;6233.2600000;6348.7300000;3609
16/07/18;000000;6348.7300000;6750.0000000;6330.3000000;6728.8100000;8381
17/07/18;000000;6728.8000000;7472.5000000;6663.5100000;7315.0100000;14936
18/07/18;000000;7315.0000000;7584.8500000;7229.8900000;7378.9900000;15108
19/07/18;000000;7378.9900000;7560.4100000;7281.4200000;7470.0100000;9034
20/07/18;000000;7470.0100000;7687.0000000;7259.7600000;7334.4600000;9908
21/07/18;000000;7334.4600000;7444.7700000;7204.3200000;7408.0000000;4846
22/07/18;000000;7408.0000000;7569.6900000;7327.7500000;7397.8000000;5219
23/07/18;000000;7400.0000000;7809.0000000;7378.2600000;7720.0900000;12050
24/07/18;000000;7720.0800000;8488.0000000;7695.9900000;8385.5000000;18102
25/07/18;000000;8390.0400000;8482.8400000;8042.0000000;8157.1500000;14056
26/07/18;000000;8157.1500000;8290.0000000;7840.0000000;7931.9900000;10032
27/07/18;000000;7932.0000000;8276.5500000;7787.2900000;8184.2100000;11254
28/07/18;000000;8182.6400000;8230.0000000;8065.0000000;8228.9000000;3887
29/07/18;000000;8227.3800000;8289.9600000;8127.8700000;8216.3400000;3739
30/07/18;000000;8216.3300000;8274.9200000;7850.0000000;8170.0100000;10009
31/07/18;000000;8170.0000000;8173.5700000;7634.2200000;7727.2700000;11330
01/08/18;000000;7727.2800000;7750.0000000;7440.0100000;7603.9900000;10643
02/08/18;000000;7603.9900000;7707.5400000;7462.0000000;7533.9200000;6677
03/08/18;000000;7533.9200000;7538.5300000;7285.0000000;7414.0800000;10672
04/08/18;000000;7414.0800000;7495.0000000;6940.0000000;7005.0000000;9650
05/08/18;000000;7005.0000000;7086.5200000;6880.0000000;7030.0100000;5985
06/08/18;000000;7030.0000000;7163.0000000;6840.6300000;6938.0000000;8161
07/08/18;000000;6938.0000000;7152.0000000;6647.0700000;6718.2200000;10470
08/08/18;000000;6718.2200000;6718.2200000;6121.0400000;6282.5000000;21531
09/08/18;000000;6282.5000000;6633.2100000;6177.5100000;6546.4500000;13492
10/08/18;000000;6546.4600000;6584.8000000;6015.0000000;6146.0100000;7122
11/08/18;000000;6146.0100000;6485.7600000;6003.0000000;6235.5600000;9521
12/08/18;000000;6236.0000000;6482.0000000;6169.4600000;6316.0100000;7798
13/08/18;000000;6316.0000000;6544.9900000;6139.5700000;6253.6700000;9978
14/08/18;000000;6253.6700000;6258.3200000;5900.0000000;6195.0100000;16836
15/08/18;000000;6195.0000000;6636.0000000;6189.0000000;6269.0100000;16640
16/08/18;000000;6269.0100000;6475.0100000;6200.0000000;6315.9000000;8663
17/08/18;000000;6315.9000000;6585.5000000;6290.3900000;6585.4900000;9859
18/08/18;000000;6585.5000000;6613.2300000;6312.0000000;6396.6400000;6451
