<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
16/09/18;000000;221.7000000;223.4300000;208.0100000;220.1900000;94967
17/09/18;000000;220.1900000;224.9000000;192.2000000;195.9700000;223795
18/09/18;000000;196.0900000;214.8700000;194.0500000;208.5000000;142662
19/09/18;000000;208.2200000;214.6800000;197.3400000;209.8100000;167125
20/09/18;000000;209.8100000;227.3400000;206.6400000;224.4100000;146771
21/09/18;000000;224.4100000;252.0000000;221.0000000;247.7600000;271987
22/09/18;000000;247.7600000;255.0000000;232.6700000;240.7100000;123236
23/09/18;000000;240.7100000;249.7900000;237.1000000;244.3500000;73790
24/09/18;000000;244.3500000;245.7900000;225.1500000;228.0100000;114703
25/09/18;000000;228.0100000;228.0100000;203.2400000;219.1900000;233947
26/09/18;000000;219.1900000;222.4300000;207.2300000;214.1500000;149797
27/09/18;000000;214.1500000;233.5000000;210.0100000;229.0000000;167983
28/09/18;000000;229.0000000;234.5900000;215.0000000;220.6700000;136334
29/09/18;000000;220.6700000;235.3500000;213.7000000;231.0100000;103374
30/09/18;000000;231.0100000;238.6900000;225.5000000;232.2700000;87803
01/10/18;000000;232.2700000;234.9200000;223.4500000;230.4000000;84931
02/10/18;000000;230.4000000;231.0800000;221.4400000;224.8500000;75206
03/10/18;000000;224.8500000;224.9000000;214.0000000;219.0100000;93507
04/10/18;000000;219.1000000;225.6600000;218.3100000;221.0000000;68580
05/10/18;000000;221.0000000;230.3300000;218.0000000;226.8900000;40728
06/10/18;000000;226.8800000;227.5100000;222.3200000;223.8500000;22301
07/10/18;000000;223.8500000;225.9500000;220.0000000;224.8200000;28626
08/10/18;000000;224.8300000;231.1000000;222.2500000;227.6800000;51876
09/10/18;000000;227.7100000;228.4500000;225.0600000;226.1500000;40651
10/10/18;000000;226.1400000;226.2500000;221.5200000;223.6100000;53801
11/10/18;000000;223.6100000;223.6100000;184.8100000;188.3200000;299955
12/10/18;000000;188.3200000;198.5000000;187.1500000;194.1000000;92627
13/10/18;000000;194.0100000;198.3700000;193.4500000;196.7200000;36364
14/10/18;000000;196.7200000;199.4100000;189.3700000;191.8700000;43245
15/10/18;000000;192.0500000;220.6400000;189.9600000;204.5300000;218652
16/10/18;000000;204.5500000;207.9700000;202.1000000;205.4300000;53975
17/10/18;000000;205.4300000;206.3500000;201.2000000;203.2100000;64159
18/10/18;000000;203.2100000;205.5600000;195.1500000;199.2000000;100068
19/10/18;000000;199.1000000;201.4700000;197.8000000;200.0000000;48583
20/10/18;000000;200.0000000;204.6600000;199.3100000;202.6900000;72781
21/10/18;000000;202.6900000;205.6600000;201.1900000;202.1200000;32412
22/10/18;000000;202.1200000;203.0000000;198.7500000;201.2500000;44790
23/10/18;000000;201.2500000;201.9600000;197.9600000;201.1200000;40149
24/10/18;000000;201.1200000;202.4700000;200.3800000;200.6800000;38450
25/10/18;000000;200.6800000;200.7200000;195.8300000;199.6500000;68400
26/10/18;000000;199.6600000;204.3500000;198.6400000;200.7000000;47444
27/10/18;000000;200.7100000;201.7000000;200.4200000;201.4600000;21005
28/10/18;000000;201.4600000;202.8500000;201.0000000;202.4300000;20345
29/10/18;000000;202.4400000;202.6500000;190.9200000;194.3100000;76305
30/10/18;000000;194.2900000;196.4100000;192.6000000;195.3500000;55967
31/10/18;000000;195.3600000;200.0000000;191.4000000;196.9500000;55006
01/11/18;000000;196.9500000;198.6300000;196.2000000;197.9600000;34871
02/11/18;000000;197.9600000;201.7500000;197.8000000;199.7500000;43974
03/11/18;000000;199.7500000;200.0000000;197.5100000;198.3500000;26860
04/11/18;000000;198.4600000;217.7700000;198.1000000;210.0600000;97047
05/11/18;000000;210.0600000;211.2000000;205.3800000;208.5300000;55919
06/11/18;000000;208.5300000;219.0800000;207.1300000;218.6500000;105243
07/11/18;000000;218.6600000;222.7800000;215.5600000;216.8400000;69175
08/11/18;000000;216.8500000;218.2700000;209.6600000;210.3400000;54265
09/11/18;000000;210.3500000;212.2000000;206.2000000;208.0100000;38036
10/11/18;000000;208.0100000;212.7800000;207.6900000;210.2900000;28575
11/11/18;000000;210.2800000;211.1700000;206.1500000;209.8800000;20427
12/11/18;000000;209.7200000;211.2200000;207.0000000;208.7700000;40270
13/11/18;000000;208.7700000;208.7700000;202.7600000;203.2000000;61762
14/11/18;000000;203.2000000;204.9000000;165.2000000;177.7900000;331367
15/11/18;000000;177.7600000;181.0000000;165.3300000;178.8900000;220829
16/11/18;000000;178.8900000;179.7600000;169.2200000;172.4000000;116106
17/11/18;000000;172.4000000;174.4100000;170.3400000;172.4900000;58470
18/11/18;000000;172.4900000;180.2100000;172.1500000;175.8700000;67607
19/11/18;000000;175.9000000;175.9200000;142.0000000;145.2100000;428272
20/11/18;000000;145.2200000;149.5000000;121.5000000;127.5500000;735914
21/11/18;000000;127.5600000;138.4800000;122.6500000;134.7300000;342736
22/11/18;000000;134.7500000;136.7100000;122.5400000;123.2500000;133586
23/11/18;000000;123.3000000;125.1500000;116.2400000;121.4400000;267708
24/11/18;000000;121.4400000;125.8900000;106.1500000;110.1600000;194435
25/11/18;000000;110.2200000;118.8300000;98.2000000;114.3000000;444204
26/11/18;000000;114.2900000;116.8800000;102.2600000;106.9500000;316232
27/11/18;000000;106.8400000;111.6000000;99.2600000;108.7000000;252956
28/11/18;000000;108.7400000;126.4600000;108.7400000;121.9400000;328350
29/11/18;000000;121.9500000;123.0500000;113.0000000;116.3800000;205689
30/11/18;000000;116.3800000;119.0000000;109.2400000;111.6500000;130011
01/12/18;000000;111.7000000;119.7700000;110.0000000;116.8200000;121895
02/12/18;000000;116.8200000;119.4500000;114.0500000;114.7600000;73055
03/12/18;000000;114.7600000;115.1200000;104.7400000;107.2100000;138883
04/12/18;000000;107.2100000;112.0000000;104.7800000;108.6100000;111160
05/12/18;000000;108.6100000;109.3700000;99.5000000;100.7600000;177315
06/12/18;000000;100.7500000;102.8500000;88.9200000;89.0900000;313272
07/12/18;000000;89.1000000;97.1600000;81.0200000;92.4500000;556478
08/12/18;000000;92.4600000;97.5200000;84.0000000;89.9900000;244361
09/12/18;000000;89.9900000;98.3000000;88.1500000;92.7900000;184159
10/12/18;000000;92.8000000;94.6200000;87.3000000;89.2300000;136214
11/12/18;000000;89.2300000;91.2100000;85.1500000;86.9600000;123394
12/12/18;000000;86.9600000;91.0000000;86.0600000;89.0900000;113285
13/12/18;000000;89.0200000;90.2500000;83.4800000;85.3500000;143525
14/12/18;000000;85.3500000;85.9800000;80.6000000;83.0000000;152813
15/12/18;000000;83.0000000;84.2900000;80.8900000;83.0300000;110112
16/12/18;000000;82.9200000;86.8200000;82.8200000;83.7400000;93874
17/12/18;000000;83.7400000;96.7400000;83.5100000;93.7900000;263065
18/12/18;000000;93.8000000;101.5000000;91.5500000;101.0000000;183993
19/12/18;000000;101.0000000;107.8800000;98.1600000;100.6600000;350321
20/12/18;000000;99.3900000;119.0000000;98.5000000;114.5200000;326795
21/12/18;000000;114.5200000;120.0000000;105.3000000;107.7400000;249382
22/12/18;000000;107.7400000;116.3000000;105.5000000;116.0900000;116821
23/12/18;000000;116.1000000;133.0000000;116.0100000;129.6100000;330089
24/12/18;000000;129.6100000;159.5100000;129.5300000;139.0900000;608971
25/12/18;000000;139.0200000;140.2600000;122.1500000;128.8200000;363617
26/12/18;000000;128.8300000;136.7200000;123.5400000;130.4700000;203308
27/12/18;000000;130.4700000;131.7800000;112.2600000;114.6300000;277745
28/12/18;000000;114.5300000;138.5800000;113.3100000;136.8200000;328180
29/12/18;000000;136.8100000;147.2800000;131.7200000;134.1500000;231565
30/12/18;000000;134.3600000;140.6400000;128.3000000;138.7800000;209126
31/12/18;000000;138.8300000;138.9000000;128.5000000;130.5300000;164813
01/01/19;000000;130.6600000;140.9000000;129.5500000;139.7500000;150914
02/01/19;000000;139.7600000;156.6900000;138.7500000;153.5000000;229916
03/01/19;000000;153.5000000;154.4400000;144.4900000;147.2300000;192668
04/01/19;000000;147.2300000;155.5100000;145.1400000;153.2400000;215788
05/01/19;000000;153.2400000;160.6200000;152.5000000;154.2100000;204727
06/01/19;000000;154.2100000;159.5800000;148.5000000;155.9200000;170163
07/01/19;000000;155.9100000;157.1500000;148.5900000;150.6200000;139253
08/01/19;000000;150.5700000;152.9000000;146.7100000;148.9700000;122678
09/01/19;000000;149.1000000;152.8800000;148.3600000;149.5000000;93936
10/01/19;000000;149.4900000;150.9000000;122.1500000;126.4100000;343848
11/01/19;000000;126.4200000;128.8400000;121.7400000;125.8300000;158112
12/01/19;000000;125.8300000;127.2800000;123.4000000;124.5900000;86053
13/01/19;000000;124.5700000;125.2100000;113.5000000;115.5800000;142464
14/01/19;000000;115.6100000;132.3800000;115.3400000;128.3700000;200077
15/01/19;000000;128.3600000;130.6100000;116.9100000;120.0000000;195948
16/01/19;000000;120.0100000;127.6000000;119.0000000;122.1200000;146487
